Project	Column	Card	CardURL	Type	Number	Labels	Repo	State	CreatedAt	UpdatedAt	ClosedAt	ClosedBy	Title	Size
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8402	PullRequest	8402	[]	dataverse	closed	2022-02-04 20:12:29	2022-02-18 21:04:50	2022-02-10 21:53:42		improve guestbook guides and link to them, add download button	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8409	PullRequest	8409	[]	dataverse	closed	2022-02-09 09:45:16	2022-02-18 21:05:48	2022-02-09 22:04:47		Direct upload multiple files	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8406	PullRequest	8406	[]	dataverse	closed	2022-02-08 20:40:50	2022-02-18 21:05:26	2022-02-09 21:40:13		update Shibboleth documentation for version 3 and repository webform	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8401	PullRequest	8401	[]	dataverse	closed	2022-02-04 20:12:15	2022-02-18 21:04:39	2022-02-09 16:16:07		Required single value controlledVocabulary field cannot be left empty when saving template	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8228	PullRequest	8228	[]	dataverse	closed	2021-11-09 18:37:34	2022-02-18 20:54:02	2022-02-08 18:53:17		Fix 7874-Dataset-template-authors-ordering	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8314	PullRequest	8314	[]	dataverse	closed	2021-12-16 16:57:49	2022-02-18 20:55:37	2022-02-07 20:19:07		Update config.rst	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8390	PullRequest	8390	[]	dataverse	closed	2022-02-02 17:20:24	2022-02-18 21:02:41	2022-02-07 20:14:37		explain what info to send for installation support #8198	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8403	PullRequest	8403	[]	dataverse	closed	2022-02-05 21:13:13	2022-02-18 21:05:08	2022-02-07 16:20:11		Fix guestbook clear selection button	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8362	PullRequest	8362	"[Label(name=""Type: Suggestion""), Label(name=""Feature: Code Infrastructure"")]"	dataverse	closed	2022-01-24 15:19:43	2022-12-29 21:22:03	2022-02-04 21:21:08		8094 Experimental CI Java 17 Maven Unittest build	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8397	PullRequest	8397	[]	dataverse	closed	2022-02-03 19:32:19	2022-02-18 21:03:00	2022-02-03 20:05:04		500 Error on template page	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/7942	PullRequest	7942	[]	dataverse	closed	2021-06-14 08:24:46	2022-02-18 20:48:07	2022-02-03 17:13:22		Enable metadata_fields parameter on search query.	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8373	PullRequest	8373	"[Label(name=""Feature: Code Infrastructure""), Label(name=""User Role: Sysadmin""), Label(name=""dependencies"")]"	dataverse	closed	2022-01-27 13:51:50	2022-03-08 08:36:49	2022-02-03 15:37:00		sec35 duracloud update	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8369	PullRequest	8369	[]	dataverse	closed	2022-01-26 15:38:33	2022-02-18 20:58:29	2022-02-02 19:02:26		IQSS/8367- create apitoken when needed for preview, refactor, add embargo logic	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8389	PullRequest	8389	[]	dataverse	closed	2022-02-02 16:06:17	2022-02-18 21:02:20	2022-02-02 16:30:03		IQSS/8386 Fix file replace	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8387	PullRequest	8387	[]	dataverse	closed	2022-02-02 15:56:50	2022-02-18 21:01:47	2022-02-02 16:19:17		Multi license doc fix	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/7920	PullRequest	7920	"[Label(name=""DANS"")]"	dataverse	closed	2021-06-03 13:25:31	2022-02-18 20:47:06	2022-02-02 15:37:23		Support for configurable list of licenses	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8377	PullRequest	8377	[]	dataverse	closed	2022-01-28 16:04:29	2022-02-18 21:01:23	2022-02-02 15:27:30		Getting rid of log4j1 in the war file	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8366	PullRequest	8366	[]	dataverse	closed	2022-01-25 12:18:53	2022-02-18 20:56:29	2022-02-01 21:13:16		issue #8333: improve documentation of reExportAll	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8368	PullRequest	8368	[]	dataverse	closed	2022-01-25 23:39:39	2022-01-26 16:18:16	2022-01-26 14:46:25		fix typo	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8343	PullRequest	8343	[]	dataverse	closed	2022-01-12 16:13:56	2022-01-26 14:28:38	2022-01-25 18:34:23		#8193 strip commas from email response	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8363	PullRequest	8363	[]	dataverse	closed	2022-01-24 16:34:23	2022-01-25 01:25:32	2022-01-24 21:53:05		IQSS/8348-dont remove expired token #8348	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8359	PullRequest	8359	[]	dataverse	closed	2022-01-21 22:04:30	2022-01-25 01:25:37	2022-01-24 20:07:49		IQSS/8356 - Fix metadatalanguage choice display in sub dataverses	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8360	PullRequest	8360	[]	dataverse	closed	2022-01-23 19:27:08	2022-01-25 01:25:42	2022-01-24 20:07:11		IQSS/8352-show release date in version table	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8341	PullRequest	8341	[]	dataverse	closed	2022-01-11 15:54:01	2022-01-25 01:25:48	2022-01-24 19:15:21		7469 request access feedback	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8354	PullRequest	8354	[]	dataverse	closed	2022-01-19 20:04:20	2022-01-24 14:05:19	2022-01-20 23:13:04		Fix for the bug in the implementation of storage dirs based on Alternative Persistent Identifiers	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8291	PullRequest	8291	[]	dataverse	closed	2021-12-08 10:10:58	2022-01-24 14:05:13	2022-01-20 16:04:34		8288 multi line textarea in guestbook	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse-metrics/pull/52	PullRequest	52	[]	dataverse-metrics	closed	2020-08-31 13:15:35	2022-01-19 16:04:56	2022-01-19 16:04:53		Add local instance metrics page using new Dataverse metrics API	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse.harvard.edu/issues/141	Issue	141	[]	dataverse.harvard.edu	closed	2021-12-13 18:37:43	2022-01-14 20:50:46	2022-01-14 20:50:39		Migrate the test Handlenet instance to a new home	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8322	PullRequest	8322	[]	dataverse	closed	2021-12-22 22:12:51	2022-01-18 16:37:47	2022-01-14 20:06:26		IQSS/8321 Accessibility	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8313	PullRequest	8313	"[Label(name=""Type: Feature""), Label(name=""Feature: File Upload & Handling""), Label(name=""Feature: Code Infrastructure""), Label(name=""Feature: Installation Guide""), Label(name=""User Role: Sysadmin""), Label(name=""Containers & Cloud"")]"	dataverse	closed	2021-12-16 12:49:40	2022-03-08 08:37:11	2022-01-14 15:19:05		5733 s3 cred chain	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8345	PullRequest	8345	[]	dataverse	closed	2022-01-12 21:19:34	2022-01-18 16:38:04	2022-01-13 15:12:39		Fix line break in config.rst	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8331	PullRequest	8331	[]	dataverse	closed	2022-01-04 19:37:41	2022-01-10 16:07:19	2022-01-05 21:15:40		8281 edit template display bug	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8271	PullRequest	8271	[]	dataverse	closed	2021-12-02 21:03:58	2022-01-10 16:07:11	2022-01-05 20:13:47		improve messaging for ingest failures, file upload #8096	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8310	PullRequest	8310	[]	dataverse	closed	2021-12-14 21:38:21	2022-01-05 17:47:57	2022-01-05 17:47:54		Postgres 9.x EOL messaging, release notes updates for Postgres 10	0
IQSS/dataverse	Done 🚀		https://github.com/IQSS/dataverse/pull/8324	PullRequest	8324	[]	dataverse	closed	2021-12-23 13:28:17	2022-01-10 16:06:57	2022-01-03 17:07:21		Bundle.properties: separate close-parens from links	0
